110,35,0.015,15,30 um
100,40,0.011,11,
90,45,0.007,7,
80,50,0.003,3,
74,53,0.002,2,
70,55,0.002,2,
66,57,0.002,2,
62,59,0.004,4,
58,61,0.005,5,
54,63,0.007,7,
50,65,0.014,14,
46,67,0.021,21,
42,69,0.029,29,
